LAF Auction Date,Report Date,Year,Repo (Fixed Rate)_Repo/Reverse Repo Period (Days),Repo (Fixed Rate)_Bids Received_Number,Repo (Fixed Rate)_Bids Received_Amount,Repo (Fixed Rate)_Bids Accepted_Number,Repo (Fixed Rate)_Bids Accepted_Amount,Repo (Fixed Rate)_Cut-off Rate (%),Reverse Repo (Fixed Rate)_Bids Received_Number,Reverse Repo (Fixed Rate)_Bids Received_Amount,Reverse Repo (Fixed Rate)_Bids Accepted_Number,Reverse Repo (Fixed Rate)_Bids Accepted_Amount,Reverse Repo (Fixed Rate)_Cut-off Rate (%),Repo (Variable Rate)_Period (Days),Repo (Variable Rate)_Bids Received_Number,Repo (Variable Rate)_Bids Received_Amount,Repo (Variable Rate)_Bids Accepted_Number,Repo (Variable Rate)_Bids Accepted_Amount,Repo (Variable Rate)_Cut-off Rate (%),Reverse Repo (Variable Rate)_Period (Days),Reverse Repo (Variable Rate)_Bids Received_Number,Reverse Repo (Variable Rate)_Bids Received_Amount,Reverse Repo (Variable Rate)_Bids Accepted_Number,Reverse Repo (Variable Rate)_Bids Accepted_Amount,Reverse Repo (Variable Rate)_Cut-off Rate (%)
"Dec 29, 2018",2018-12-29,2018,2.0,,,,,,68.0,47699.0,68.0,47699.0,6.25,,,,,,,,,,,,
"Dec 29, 2018",2018-12-29,2018,,,,,,,,,,,,,,,,,,,,,,,
"Dec 28, 2018",2018-12-28,2018,3.0,6.0,4124.0,6.0,4124.0,6.5,56.0,40111.0,56.0,40111.0,6.25,14.0,20.0,37350.0,16.0,23502.0,6.52,,,,,,
"Dec 27, 2018",2018-12-27,2018,1.0,27.0,20538.0,27.0,20537.0,6.5,54.0,28825.0,54.0,28825.0,6.25,7.0,19.0,28150.0,11.0,20001.0,6.53,,,,,,
"Dec 26, 2018",2018-12-26,2018,1.0,36.0,22787.0,36.0,22786.0,6.5,41.0,10820.0,41.0,10820.0,6.25,,,,,,,,,,,,
"Dec 24, 2018",2018-12-24,2018,2.0,28.0,20914.0,28.0,20903.0,6.5,55.0,12287.0,55.0,12287.0,6.25,15.0,15.0,14667.0,15.0,14667.0,6.51,,,,,,
"Dec 21, 2018",2018-12-21,2018,3.0,15.0,13658.0,15.0,13658.0,6.5,71.0,25515.0,71.0,25515.0,6.25,14.0,14.0,12324.0,14.0,12324.0,6.51,,,,,,
"Dec 20, 2018",2018-12-20,2018,1.0,28.0,18437.0,28.0,18434.0,6.5,54.0,13634.0,54.0,13634.0,6.25,,,,,,,,,,,,
"Dec 19, 2018",2018-12-19,2018,1.0,7.0,4358.0,7.0,4358.0,6.5,62.0,12640.0,62.0,12640.0,6.25,14.0,10.0,14200.0,10.0,14200.0,6.51,,,,,,
"Dec 18, 2018",2018-12-18,2018,1.0,11.0,6087.0,11.0,6087.0,6.5,41.0,9503.0,41.0,9503.0,6.25,14.0,17.0,25035.0,17.0,23005.0,6.51,,,,,,
"Dec 17, 2018",2018-12-17,2018,1.0,16.0,6076.0,16.0,6076.0,6.5,49.0,8324.0,49.0,8324.0,6.25,,,,,,,,,,,,
"Dec 15, 2018",2018-12-15,2018,2.0,24.0,10627.0,24.0,10627.0,6.5,21.0,6255.0,21.0,6255.0,6.25,,,,,,,,,,,,
"Dec 14, 2018",2018-12-14,2018,3.0,5.0,3546.0,5.0,3546.0,6.5,47.0,34008.0,47.0,34008.0,6.25,14.0,12.0,11935.0,12.0,11935.0,6.51,,,,,,
"Dec 14, 2018",2018-12-14,2018,,,,,,,,,,,,21.0,23.0,38200.0,21.0,35002.0,6.52,,,,,,
"Dec 13, 2018",2018-12-13,2018,1.0,7.0,5971.0,7.0,5971.0,6.5,56.0,16018.0,56.0,16018.0,6.25,56.0,22.0,33330.0,11.0,25002.0,6.56,,,,,,
"Dec 12, 2018",2018-12-12,2018,1.0,23.0,21331.0,23.0,21271.0,6.5,51.0,9286.0,51.0,9286.0,6.25,,,,,,,,,,,,
"Dec 11, 2018",2018-12-11,2018,1.0,26.0,20190.0,26.0,20137.0,6.5,43.0,9092.0,43.0,9092.0,6.25,13.0,15.0,27457.0,14.0,23502.0,6.52,,,,,,
"Dec 10, 2018",2018-12-10,2018,1.0,10.0,11596.0,10.0,11596.0,6.5,41.0,10033.0,41.0,10033.0,6.25,,,,,,,,,,,,
"Dec 07, 2018",2018-12-07,2018,3.0,13.0,10126.0,13.0,10126.0,6.5,75.0,22846.0,75.0,22846.0,6.25,14.0,9.0,6615.0,9.0,6615.0,6.51,3.0,15.0,3848.0,15.0,3848.0,6.49
"Dec 06, 2018",2018-12-06,2018,1.0,7.0,3611.0,7.0,3611.0,6.5,61.0,11499.0,61.0,11499.0,6.25,,,,,,,7.0,9.0,8434.0,9.0,8434.0,6.49
"Dec 05, 2018",2018-12-05,2018,1.0,4.0,2716.0,4.0,2716.0,6.5,61.0,19277.0,61.0,19277.0,6.25,,,,,,,7.0,6.0,800.0,6.0,800.0,6.49
"Dec 04, 2018",2018-12-04,2018,1.0,5.0,3141.0,5.0,3141.0,6.5,58.0,16324.0,58.0,16324.0,6.25,14.0,13.0,12650.0,13.0,12650.0,6.51,1.0,31.0,34893.0,31.0,34893.0,6.49
"Dec 04, 2018",2018-12-04,2018,,,,,,,,,,,,,,,,,,7.0,7.0,1993.0,7.0,1993.0,6.49
"Dec 03, 2018",2018-12-03,2018,1.0,5.0,3621.0,5.0,3621.0,6.5,69.0,60162.0,69.0,60162.0,6.25,,,,,,,7.0,20.0,17759.0,20.0,17759.0,6.49
"Dec 01, 2018",2018-12-01,2018,2.0,3.0,1020.0,3.0,1020.0,6.5,50.0,22128.0,50.0,22128.0,6.25,,,,,,,,,,,,
"Nov 30, 2018",2018-11-30,2018,3.0,10.0,8231.0,10.0,8231.0,6.5,53.0,24905.0,53.0,24905.0,6.25,14.0,14.0,11050.0,14.0,11050.0,6.51,7.0,10.0,12171.0,10.0,12171.0,6.49
"Nov 29, 2018",2018-11-29,2018,1.0,6.0,3896.0,6.0,3896.0,6.5,57.0,25887.0,57.0,25887.0,6.25,,,,,,,7.0,14.0,14455.0,14.0,14455.0,6.49
"Nov 28, 2018",2018-11-28,2018,1.0,10.0,3971.0,10.0,3971.0,6.5,57.0,20868.0,57.0,20868.0,6.25,,,,,,,,,,,,
"Nov 27, 2018",2018-11-27,2018,1.0,5.0,3846.0,5.0,3846.0,6.5,55.0,19800.0,55.0,19800.0,6.25,14.0,5.0,10720.0,5.0,10720.0,6.51,7.0,12.0,11862.0,12.0,11862.0,6.49
"Nov 26, 2018",2018-11-26,2018,1.0,11.0,9541.0,11.0,9541.0,6.5,58.0,17768.0,58.0,17768.0,6.25,,,,,,,7.0,17.0,10936.0,17.0,10936.0,6.49
"Nov 23, 2018",2018-11-23,2018,3.0,,,,,,52.0,28875.0,52.0,28875.0,6.25,,,,,,,,,,,,
"Nov 23, 2018",2018-11-23,2018,,,,,,,,,,,,,,,,,,,,,,,
"Nov 22, 2018",2018-11-22,2018,4.0,16.0,14158.0,16.0,14158.0,6.5,56.0,24159.0,56.0,24159.0,6.25,15.0,15.0,29570.0,14.0,23501.0,6.52,,,,,,
"Nov 21, 2018",2018-11-21,2018,1.0,,,,,,25.0,12170.0,25.0,12170.0,6.25,,,,,,,,,,,,
"Nov 21, 2018",2018-11-21,2018,,,,,,,,,,,,,,,,,,,,,,,
"Nov 20, 2018",2018-11-20,2018,2.0,12.0,7411.0,12.0,7411.0,6.5,46.0,13609.0,46.0,13609.0,6.25,14.0,18.0,27650.0,17.0,23001.0,6.52,,,,,,
"Nov 19, 2018",2018-11-19,2018,1.0,6.0,3861.0,6.0,3861.0,6.5,64.0,29297.0,64.0,29297.0,6.25,,,,,,,1.0,43.0,44168.0,29.0,25007.0,6.45
"Nov 17, 2018",2018-11-17,2018,2.0,8.0,2123.0,8.0,2123.0,6.5,33.0,16550.0,33.0,16550.0,6.25,,,,,,,,,,,,
"Nov 16, 2018",2018-11-16,2018,3.0,6.0,3861.0,6.0,3861.0,6.5,58.0,30426.0,58.0,30426.0,6.25,14.0,26.0,30600.0,24.0,23500.0,6.53,3.0,61.0,61262.0,42.0,40007.0,6.47
"Nov 15, 2018",2018-11-15,2018,1.0,5.0,3746.0,5.0,3746.0,6.5,73.0,50417.0,73.0,50417.0,6.25,,,,,,,,,,,,
"Nov 14, 2018",2018-11-14,2018,1.0,6.0,3756.0,6.0,3756.0,6.5,64.0,28261.0,64.0,28261.0,6.25,,,,,,,,,,,,
"Nov 13, 2018",2018-11-13,2018,1.0,6.0,3856.0,6.0,3856.0,6.5,65.0,33664.0,65.0,33664.0,6.25,14.0,23.0,58590.0,4.0,23502.0,6.6,,,,,,
"Nov 13, 2018",2018-11-13,2018,,,,,,,,,,,,28.0,19.0,35088.0,16.0,20001.0,6.55,,,,,,
"Nov 13, 2018",2018-11-13,2018,,,,,,,,,,,,56.0,22.0,42200.0,4.0,20002.0,6.6,,,,,,
"Nov 12, 2018",2018-11-12,2018,1.0,13.0,6343.0,13.0,6343.0,6.5,52.0,13826.0,52.0,13826.0,6.25,,,,,,,,,,,,
"Nov 09, 2018",2018-11-09,2018,3.0,18.0,15743.0,18.0,15743.0,6.5,78.0,22680.0,78.0,22680.0,6.25,13.0,23.0,47400.0,7.0,23504.0,6.58,,,,,,
"Nov 08, 2018",2018-11-08,2018,1.0,,,,,,42.0,15478.0,42.0,15478.0,6.25,,,,,,,,,,,,
"Nov 08, 2018",2018-11-08,2018,,,,,,,,,,,,,,,,,,,,,,,
"Nov 07, 2018",2018-11-07,2018,2.0,,,,,,11.0,2075.0,11.0,2075.0,6.25,,,,,,,,,,,,
"Nov 07, 2018",2018-11-07,2018,,,,,,,,,,,,,,,,,,,,,,,
"Nov 06, 2018",2018-11-06,2018,3.0,25.0,13200.0,25.0,13200.0,6.5,61.0,20549.0,61.0,20549.0,6.25,14.0,23.0,43125.0,5.0,23003.0,6.56,,,,,,
"Nov 05, 2018",2018-11-05,2018,1.0,7.0,4173.0,7.0,4173.0,6.5,66.0,25782.0,66.0,25782.0,6.25,,,,,,,1.0,53.0,50667.0,53.0,50667.0,6.49
"Nov 03, 2018",2018-11-03,2018,2.0,1.0,300.0,1.0,300.0,6.5,49.0,29747.0,49.0,29747.0,6.25,,,,,,,,,,,,
"Nov 02, 2018",2018-11-02,2018,3.0,5.0,3846.0,5.0,3846.0,6.5,50.0,15162.0,50.0,15162.0,6.25,14.0,27.0,38775.0,26.0,23502.0,6.52,3.0,35.0,37833.0,31.0,30010.0,6.48
"Nov 01, 2018",2018-11-01,2018,1.0,6.0,3871.0,6.0,3871.0,6.5,64.0,28586.0,64.0,28586.0,6.25,,,,,,,4.0,25.0,34733.0,25.0,25004.0,6.49
"Oct 31, 2018",2018-10-31,2018,1.0,7.0,3976.0,7.0,3976.0,6.5,60.0,29117.0,60.0,29117.0,6.25,,,,,,,,,,,,
"Oct 30, 2018",2018-10-30,2018,1.0,6.0,3876.0,6.0,3876.0,6.5,46.0,13904.0,46.0,13904.0,6.25,14.0,19.0,41799.0,1.0,23500.0,6.58,,,,,,
"Oct 29, 2018",2018-10-29,2018,1.0,7.0,5746.0,7.0,5746.0,6.5,50.0,13749.0,50.0,13749.0,6.25,,,,,,,,,,,,
"Oct 26, 2018",2018-10-26,2018,3.0,12.0,12446.0,12.0,12446.0,6.5,89.0,46730.0,89.0,46730.0,6.25,14.0,32.0,61540.0,16.0,23504.0,6.54,,,,,,
"Oct 25, 2018",2018-10-25,2018,1.0,22.0,19201.0,22.0,19201.0,6.5,68.0,36908.0,68.0,36908.0,6.25,,,,,,,,,,,,
"Oct 24, 2018",2018-10-24,2018,1.0,6.0,3896.0,6.0,3896.0,6.5,50.0,9872.0,50.0,9872.0,6.25,,,,,,,,,,,,
"Oct 23, 2018",2018-10-23,2018,1.0,8.0,6546.0,8.0,6546.0,6.5,52.0,15550.0,52.0,15550.0,6.25,14.0,28.0,43450.0,24.0,23502.0,6.53,,,,,,
"Oct 22, 2018",2018-10-22,2018,1.0,36.0,19228.0,36.0,18768.0,6.5,56.0,8915.0,56.0,8915.0,6.25,,,,,,,,,,,,
"Oct 20, 2018",2018-10-20,2018,2.0,4.0,110.0,4.0,106.0,6.5,23.0,5816.0,23.0,5816.0,6.25,,,,,,,,,,,,
"Oct 19, 2018",2018-10-19,2018,3.0,7.0,3994.0,7.0,3994.0,6.5,40.0,15658.0,40.0,15658.0,6.25,7.0,8.0,13840.0,8.0,13840.0,6.51,,,,,,
"Oct 19, 2018",2018-10-19,2018,,,,,,,,,,,,14.0,32.0,35260.0,31.0,23502.0,6.52,,,,,,
"Oct 18, 2018",2018-10-18,2018,1.0,,,,,,25.0,10375.0,25.0,10375.0,6.25,,,,,,,,,,,,
"Oct 18, 2018",2018-10-18,2018,,,,,,,,,,,,,,,,,,,,,,,
"Oct 17, 2018",2018-10-17,2018,2.0,29.0,16708.0,29.0,16708.0,6.5,38.0,12811.0,38.0,12811.0,6.25,,,,,,,,,,,,
"Oct 16, 2018",2018-10-16,2018,1.0,15.0,7047.0,15.0,7047.0,6.5,47.0,11418.0,47.0,11418.0,6.25,14.0,27.0,66140.0,5.0,23500.0,6.55,,,,,,
"Oct 16, 2018",2018-10-16,2018,,,,,,,,,,,,21.0,22.0,61090.0,1.0,30000.0,6.58,,,,,,
"Oct 15, 2018",2018-10-15,2018,1.0,26.0,19722.0,26.0,19722.0,6.5,36.0,11227.0,36.0,11227.0,6.25,,,,,,,,,,,,
"Oct 12, 2018",2018-10-12,2018,3.0,12.0,7128.0,12.0,7128.0,6.5,80.0,38889.0,80.0,38889.0,6.25,14.0,12.0,23062.0,12.0,23062.0,6.51,7.0,8.0,7644.0,8.0,7644.0,6.49
"Oct 11, 2018",2018-10-11,2018,1.0,8.0,3909.0,8.0,3909.0,6.5,57.0,15522.0,57.0,15522.0,6.25,,,,,,,,,,,,
"Oct 10, 2018",2018-10-10,2018,1.0,7.0,3798.0,7.0,3798.0,6.5,41.0,7975.0,41.0,7975.0,6.25,,,,,,,7.0,9.0,8443.0,9.0,8443.0,6.49
"Oct 09, 2018",2018-10-09,2018,1.0,6.0,2928.0,6.0,2928.0,6.5,62.0,22272.0,62.0,22272.0,6.25,14.0,15.0,13400.0,15.0,13400.0,6.51,7.0,10.0,17135.0,10.0,17135.0,6.49
"Oct 08, 2018",2018-10-08,2018,1.0,5.0,3116.0,5.0,3116.0,6.5,60.0,36400.0,60.0,36400.0,6.25,,,,,,,1.0,38.0,61346.0,38.0,61346.0,6.49
"Oct 08, 2018",2018-10-08,2018,,,,,,,,,,,,,,,,,,7.0,23.0,27180.0,23.0,27180.0,6.49
"Oct 06, 2018",2018-10-06,2018,2.0,18.0,6195.0,18.0,6195.0,6.5,29.0,16476.0,29.0,16476.0,6.25,,,,,,,,,,,,
"Oct 05, 2018",2018-10-05,2018,3.0,5.0,3646.0,5.0,3646.0,6.5,61.0,38753.0,61.0,38753.0,6.25,14.0,35.0,34144.0,28.0,23004.0,6.52,3.0,63.0,107533.0,63.0,100006.0,6.49
"Oct 04, 2018",2018-10-04,2018,1.0,5.0,3401.0,5.0,3401.0,6.5,82.0,91041.0,82.0,91041.0,6.25,,,,,,,7.0,5.0,6226.0,5.0,6226.0,6.49
"Oct 03, 2018",2018-10-03,2018,1.0,6.0,4116.0,6.0,4116.0,6.5,74.0,68715.0,74.0,68715.0,6.25,,,,,,,7.0,10.0,12178.0,10.0,12178.0,6.49
"Oct 03, 2018",2018-10-03,2018,,,,,,,,,,,,,,,,,,2.0,45.0,55670.0,45.0,55670.0,6.49
"Oct 01, 2018",2018-10-01,2018,2.0,6.0,3793.0,6.0,3793.0,6.5,83.0,63838.0,83.0,63838.0,6.25,15.0,13.0,28357.0,13.0,23002.0,6.51,7.0,15.0,21060.0,15.0,21060.0,6.49
"Oct 01, 2018",2018-10-01,2018,,,,,,,,,,,,,,,,,,2.0,62.0,53730.0,62.0,53730.0,6.49
"Sep 29, 2018",2018-09-29,2018,2.0,7.0,4584.0,7.0,4126.0,6.5,37.0,45140.0,37.0,45140.0,6.25,,,,,,,,,,,,
"Sep 28, 2018",2018-09-28,2018,3.0,10.0,4741.0,10.0,4741.0,6.5,94.0,94866.0,94.0,94866.0,6.25,14.0,25.0,9777.0,25.0,9777.0,6.53,,,,,,
"Sep 27, 2018",2018-09-27,2018,1.0,5.0,3921.0,5.0,3921.0,6.5,89.0,98436.0,89.0,98436.0,6.25,,,,,,,7.0,12.0,23450.0,12.0,23450.0,6.49
"Sep 27, 2018",2018-09-27,2018,,,,,,,,,,,,,,,,,,4.0,22.0,24655.0,22.0,24655.0,6.49
"Sep 26, 2018",2018-09-26,2018,1.0,5.0,3746.0,5.0,3746.0,6.5,94.0,120515.0,94.0,120515.0,6.25,,,,,,,,,,,,
"Sep 25, 2018",2018-09-25,2018,1.0,6.0,3936.0,6.0,3936.0,6.5,69.0,78595.0,69.0,78595.0,6.25,8.0,19.0,32224.0,12.0,25002.0,6.54,,,,,,
"Sep 25, 2018",2018-09-25,2018,,,,,,,,,,,,14.0,27.0,47035.0,15.0,23003.0,6.55,,,,,,
"Sep 24, 2018",2018-09-24,2018,1.0,15.0,10651.0,15.0,10651.0,6.5,46.0,29715.0,46.0,29715.0,6.25,7.0,18.0,15800.0,18.0,15800.0,6.51,,,,,,
"Sep 21, 2018",2018-09-21,2018,3.0,7.0,4006.0,7.0,4006.0,6.5,44.0,15168.0,44.0,15168.0,6.25,14.0,35.0,34624.0,31.0,23007.0,6.53,,,,,,
"Sep 20, 2018",2018-09-20,2018,1.0,,,,,,14.0,4942.0,14.0,4942.0,6.25,,,,,,,,,,,,
"Sep 20, 2018",2018-09-20,2018,,,,,,,,,,,,,,,,,,,,,,,
"Sep 19, 2018",2018-09-19,2018,2.0,8.0,4995.0,8.0,4995.0,6.5,24.0,4671.0,24.0,4671.0,6.25,,,,,,,,,,,,
"Sep 18, 2018",2018-09-18,2018,1.0,16.0,8660.0,16.0,8660.0,6.5,34.0,5626.0,34.0,5626.0,6.25,13.0,27.0,30074.0,18.0,23001.0,6.53,,,,,,
"Sep 17, 2018",2018-09-17,2018,1.0,28.0,20256.0,28.0,20256.0,6.5,35.0,9930.0,35.0,9930.0,6.25,28.0,39.0,45850.0,34.0,30004.0,6.54,,,,,,
"Sep 14, 2018",2018-09-14,2018,3.0,7.0,3956.0,7.0,3956.0,6.5,88.0,59320.0,88.0,59320.0,6.25,14.0,20.0,30330.0,10.0,23503.0,6.54,,,,,,
"Sep 13, 2018",2018-09-13,2018,1.0,,,,,,37.0,21612.0,37.0,21612.0,6.25,,,,,,,,,,,,
"Sep 13, 2018",2018-09-13,2018,,,,,,,,,,,,,,,,,,,,,,,
"Sep 12, 2018",2018-09-12,2018,2.0,7.0,3696.0,7.0,3696.0,6.5,52.0,12255.0,52.0,12255.0,6.25,,,,,,,2.0,44.0,27509.0,44.0,27509.0,6.49
"Sep 11, 2018",2018-09-11,2018,1.0,17.0,15579.0,17.0,15579.0,6.5,59.0,29300.0,59.0,29300.0,6.25,14.0,44.0,77632.0,9.0,22502.0,6.56,,,,,,
"Sep 11, 2018",2018-09-11,2018,,,,,,,,,,,,28.0,45.0,40990.0,29.0,25002.0,6.54,,,,,,
"Sep 10, 2018",2018-09-10,2018,1.0,40.0,24691.0,40.0,24684.0,6.5,39.0,7659.0,39.0,7659.0,6.25,,,,,,,,,,,,
"Sep 07, 2018",2018-09-07,2018,3.0,6.0,3956.0,6.0,3956.0,6.5,53.0,13200.0,53.0,13200.0,6.25,14.0,10.0,5124.0,10.0,5124.0,6.51,7.0,7.0,10785.0,7.0,10785.0,6.49
"Sep 06, 2018",2018-09-06,2018,1.0,6.0,3846.0,6.0,3846.0,6.5,55.0,31269.0,55.0,31269.0,6.25,,,,,,,6.0,18.0,13309.0,18.0,13309.0,6.49
"Sep 05, 2018",2018-09-05,2018,1.0,5.0,3591.0,5.0,3591.0,6.5,61.0,27296.0,61.0,27296.0,6.25,,,,,,,7.0,17.0,17723.0,17.0,17723.0,6.49
"Sep 04, 2018",2018-09-04,2018,1.0,5.0,3471.0,5.0,3471.0,6.5,57.0,31492.0,57.0,31492.0,6.25,,,,,,,7.0,17.0,15145.0,17.0,15145.0,6.49
"Sep 03, 2018",2018-09-03,2018,1.0,5.0,3921.0,5.0,3921.0,6.5,58.0,41159.0,58.0,41159.0,6.25,15.0,6.0,4092.0,6.0,4092.0,6.51,4.0,24.0,23349.0,24.0,23349.0,6.49
"Sep 03, 2018",2018-09-03,2018,,,,,,,,,,,,,,,,,,11.0,3.0,4075.0,3.0,4075.0,6.49
"Sep 01, 2018",2018-09-01,2018,2.0,6.0,2924.0,6.0,2924.0,6.5,25.0,5489.0,25.0,5489.0,6.25,,,,,,,,,,,,
"Aug 31, 2018",2018-08-31,2018,3.0,8.0,5301.0,8.0,5301.0,6.5,83.0,50107.0,83.0,50107.0,6.25,14.0,11.0,15550.0,11.0,15550.0,6.51,7.0,4.0,4705.0,4.0,4705.0,6.49
"Aug 30, 2018",2018-08-30,2018,1.0,5.0,3516.0,5.0,3516.0,6.5,71.0,28777.0,71.0,28777.0,6.25,,,,,,,7.0,9.0,6706.0,9.0,6706.0,6.49
"Aug 29, 2018",2018-08-29,2018,1.0,5.0,3666.0,5.0,3666.0,6.5,64.0,22790.0,64.0,22790.0,6.25,,,,,,,7.0,13.0,8422.0,13.0,8422.0,6.49
"Aug 28, 2018",2018-08-28,2018,1.0,10.0,5151.0,10.0,5151.0,6.5,44.0,20942.0,44.0,20942.0,6.25,14.0,13.0,11775.0,13.0,11775.0,6.51,7.0,8.0,6950.0,8.0,6950.0,6.49
"Aug 27, 2018",2018-08-27,2018,1.0,6.0,3948.0,6.0,3948.0,6.5,52.0,22594.0,52.0,22594.0,6.25,,,,,,,7.0,11.0,15573.0,11.0,15573.0,6.49
"Aug 24, 2018",2018-08-24,2018,3.0,10.0,7649.0,10.0,7649.0,6.5,59.0,29634.0,59.0,29634.0,6.25,14.0,13.0,19767.0,13.0,19767.0,6.51,,,,,,
"Aug 23, 2018",2018-08-23,2018,1.0,17.0,15656.0,17.0,15656.0,6.5,43.0,15619.0,43.0,15619.0,6.25,,,,,,,7.0,2.0,1750.0,2.0,1750.0,6.49
"Aug 21, 2018",2018-08-21,2018,2.0,13.0,11226.0,13.0,11226.0,6.5,37.0,8516.0,37.0,8516.0,6.25,14.0,10.0,12939.0,10.0,12939.0,6.51,7.0,9.0,5349.0,9.0,5349.0,6.49
"Aug 20, 2018",2018-08-20,2018,1.0,5.0,3921.0,5.0,3921.0,6.5,42.0,8585.0,42.0,8585.0,6.25,,,,,,,7.0,17.0,15492.0,17.0,15492.0,6.49
"Aug 16, 2018",2018-08-16,2018,4.0,10.0,5221.0,10.0,5221.0,6.5,57.0,31380.0,57.0,31380.0,6.25,15.0,17.0,21567.0,17.0,21567.0,6.51,7.0,13.0,8768.0,13.0,8768.0,6.49
"Aug 14, 2018",2018-08-14,2018,2.0,27.0,12550.0,27.0,12550.0,6.5,54.0,11575.0,54.0,11575.0,6.25,14.0,15.0,17475.0,15.0,17475.0,6.51,7.0,6.0,2185.0,6.0,2185.0,6.49
"Aug 13, 2018",2018-08-13,2018,1.0,5.0,3546.0,5.0,3546.0,6.5,44.0,10281.0,44.0,10281.0,6.25,,,,,,,7.0,18.0,19389.0,18.0,19389.0,6.49
"Aug 10, 2018",2018-08-10,2018,3.0,5.0,3841.0,5.0,3841.0,6.5,66.0,26024.0,66.0,26024.0,6.25,14.0,15.0,14950.0,15.0,14950.0,6.51,6.0,18.0,23962.0,18.0,23962.0,6.49
"Aug 09, 2018",2018-08-09,2018,1.0,28.0,19480.0,28.0,19480.0,6.5,43.0,8593.0,43.0,8593.0,6.25,,,,,,,,,,,,
"Aug 08, 2018",2018-08-08,2018,1.0,20.0,8941.0,20.0,8941.0,6.5,36.0,3747.0,36.0,3747.0,6.25,,,,,,,,,,,,
"Aug 06, 2018",2018-08-06,2018,1.0,6.0,4416.0,6.0,4416.0,6.5,58.0,28994.0,58.0,28994.0,6.25,,,,,,,7.0,16.0,15550.0,16.0,15550.0,6.49
"Aug 04, 2018",2018-08-04,2018,2.0,,,,,,28.0,4497.0,28.0,4497.0,6.25,,,,,,,,,,,,
"Aug 04, 2018",2018-08-04,2018,,,,,,,,,,,,,,,,,,,,,,,
"Aug 03, 2018",2018-08-03,2018,3.0,9.0,5938.0,9.0,5938.0,6.5,100.0,54516.0,100.0,54516.0,6.25,13.0,9.0,2237.0,9.0,2237.0,6.51,7.0,22.0,22554.0,22.0,22554.0,6.49
"Aug 03, 2018",2018-08-03,2018,,,,,,,,,,,,,,,,,,13.0,5.0,2625.0,5.0,2625.0,6.49
"Aug 02, 2018",2018-08-02,2018,1.0,6.0,4896.0,6.0,4896.0,6.5,55.0,43070.0,55.0,43070.0,6.25,,,,,,,7.0,12.0,17014.0,12.0,17014.0,6.49
"Aug 02, 2018",2018-08-02,2018,,,,,,,,,,,,,,,,,,1.0,19.0,26837.0,19.0,25001.0,6.49
"Aug 01, 2018",2018-08-01,2018,1.0,16.0,7756.0,16.0,7756.0,6.25,64.0,46595.0,64.0,46595.0,6.25,,,,,,,7.0,2.0,165.0,2.0,165.0,6.24
"Jul 31, 2018",2018-07-31,2018,1.0,18.0,14301.0,18.0,14301.0,6.25,44.0,15221.0,44.0,15221.0,6.0,14.0,31.0,31575.0,24.0,22506.0,6.27,7.0,2.0,14000.0,2.0,14000.0,6.23
"Jul 30, 2018",2018-07-30,2018,1.0,20.0,15666.0,20.0,15666.0,6.25,40.0,19761.0,40.0,19761.0,6.0,,,,,,,7.0,4.0,6093.0,4.0,6093.0,6.24
"Jul 27, 2018",2018-07-27,2018,3.0,23.0,11518.0,23.0,11518.0,6.25,50.0,19029.0,50.0,19029.0,6.0,14.0,16.0,13575.0,16.0,13575.0,6.26,7.0,7.0,9484.0,7.0,9484.0,6.24
"Jul 26, 2018",2018-07-26,2018,1.0,7.0,4923.0,7.0,4923.0,6.25,40.0,8686.0,40.0,8686.0,6.0,,,,,,,7.0,11.0,12829.0,11.0,12829.0,6.24
"Jul 25, 2018",2018-07-25,2018,1.0,18.0,16156.0,18.0,16156.0,6.25,40.0,10445.0,40.0,10445.0,6.0,1.0,37.0,29125.0,8.0,15003.0,6.3,,,,,,
"Jul 24, 2018",2018-07-24,2018,1.0,40.0,24624.0,40.0,24623.0,6.25,28.0,7029.0,28.0,7029.0,6.0,14.0,37.0,37650.0,33.0,22508.0,6.27,,,,,,
"Jul 23, 2018",2018-07-23,2018,1.0,35.0,22359.0,35.0,22359.0,6.25,34.0,6862.0,34.0,6862.0,6.0,,,,,,,,,,,,
"Jul 21, 2018",2018-07-21,2018,2.0,12.0,7460.0,12.0,7460.0,6.25,19.0,4089.0,19.0,4089.0,6.0,,,,,,,,,,,,
"Jul 20, 2018",2018-07-20,2018,3.0,36.0,16381.0,36.0,16381.0,6.25,58.0,11456.0,58.0,11456.0,6.0,14.0,10.0,9934.0,10.0,9934.0,6.26,,,,,,
"Jul 19, 2018",2018-07-19,2018,1.0,5.0,3796.0,5.0,3796.0,6.25,47.0,10480.0,47.0,10480.0,6.0,,,,,,,7.0,14.0,15970.0,14.0,15970.0,6.24
"Jul 18, 2018",2018-07-18,2018,1.0,6.0,3873.0,6.0,3873.0,6.25,46.0,5280.0,46.0,5280.0,6.0,,,,,,,7.0,8.0,10875.0,8.0,10875.0,6.24
"Jul 17, 2018",2018-07-17,2018,1.0,9.0,4158.0,9.0,4158.0,6.25,44.0,11570.0,44.0,11570.0,6.0,14.0,14.0,23352.0,14.0,22006.0,6.26,7.0,6.0,7562.0,6.0,7562.0,6.24
